cleaned_text,sentiment
gym cancel kar diya motivation down hai,negative
zindagi bohot stressfull lag rahi hai aaj,negative
bhai traffic me phas gaya kya din kharab hai,negative
zindagi bohot stressfull lag rahi hai aaj,negative
mobile gir gaya aur screen toot gayi damn,negative
gym cancel kar diya motivation down hai,negative
net phir se slow hai irritation ho raha hai,negative
net phir se slow hai irritation ho raha hai,negative
aaj sab kuch galat ho raha hai unlucky day,negative
yeh coffee bilkul thandi hai bakwaas taste,negative
aaj sab kuch galat ho raha hai unlucky day,negative
bhai traffic me phas gaya kya din kharab hai,negative
net phir se slow hai irritation ho raha hai,negative
aaj sab kuch galat ho raha hai unlucky day,negative
yeh coffee bilkul thandi hai bakwaas taste,negative
bhai traffic me phas gaya kya din kharab hai,negative
boss ne fir daant diya mood off,negative
office ka kaam khatam nahi ho raha uff,negative
gym cancel kar diya motivation down hai,negative
boss ne fir daant diya mood off,negative
net phir se slow hai irritation ho raha hai,negative
movie itni bakwaas thi pura time waste,negative
boss ne fir daant diya mood off,negative
mobile gir gaya aur screen toot gayi damn,negative
zindagi bohot stressfull lag rahi hai aaj,negative
aaj sab kuch galat ho raha hai unlucky day,negative
zindagi bohot stressfull lag rahi hai aaj,negative
net phir se slow hai irritation ho raha hai,negative
movie itni bakwaas thi pura time waste,negative
boss ne fir daant diya mood off,negative
aaj sab kuch galat ho raha hai unlucky day,negative
office ka kaam khatam nahi ho raha uff,negative
net phir se slow hai irritation ho raha hai,negative
movie itni bakwaas thi pura time waste,negative
gym cancel kar diya motivation down hai,negative
gym cancel kar diya motivation down hai,negative
office ka kaam khatam nahi ho raha uff,negative
zindagi bohot stressfull lag rahi hai aaj,negative
movie itni bakwaas thi pura time waste,negative
net phir se slow hai irritation ho raha hai,negative
yeh coffee bilkul thandi hai bakwaas taste,negative
zindagi bohot stressfull lag rahi hai aaj,negative
office ka kaam khatam nahi ho raha uff,negative
net phir se slow hai irritation ho raha hai,negative
zindagi bohot stressfull lag rahi hai aaj,negative
movie itni bakwaas thi pura time waste,negative
net phir se slow hai irritation ho raha hai,negative
gym cancel kar diya motivation down hai,negative
boss ne fir daant diya mood off,negative
boss ne fir daant diya mood off,negative
bhai traffic me phas gaya kya din kharab hai,negative
that sucks to hear i hate days like that,negative
that would panic me a little maybe you can read on an orbitron at the gym like i do when all else fails,negative
in cafe management the end of the month is nothing but numbers my arty little head hurts from finding discrepencies,negative
what did you think of the finale i thought it was kind of a cheap way out,negative
guess i m gonna try the nap thing again 2day but since my kids haven t cooperated with it yet this week i m sure 2day won t be different,negative
dam only 5 votes not gonna win anything now,negative
totally unsurprised that dave isn t coming back to 10 but annalisa is wrong for it opposite of big warm mellow dave,negative
i m hungry but can t eat anything right now because my tongue hurts so bad,negative
useless i dont want to purchase the app as this free version offers no good features the paid app might be better rating 2 just because of the feedback on user review,negative
some features widely requested and very useful are missing task with due date should automatically appear on my day forward email to microsoft todo address and automatically add a task sort task by modification date the ideia is to have on top the oldest task that i ve updated very important feature comments ability to make comment on the task with timestamp tags must have tags to more easily search and filter please improved microsoft todo with this features,negative
wtf was that 5 mins before the marked closed faz you cost me 4 grand,negative
ack i just read about your show that s horrible no accounting for taste,negative
i used this calander app for years and found it to be excellent but recently it started playing full page video ads making accessing information on the fly unreliable i m sure the paid version is still great but i cant recommend using this as a free calander app anymore,negative
installed the new modem which is meant to run 5 times faster than the old one and its slower what the hell gah slow internet kills me,negative
lol what bothers me is that i m messing with my metabolism drinking lots of water pretending its different food mmmm grapes,negative
_j think so although think i am being ignored not a good day,negative
hernia is hurting way more than usual tonight no way i m able to go out,negative
ouch sunburn s bad hope it s not to sore on your bedding that s always the problem,negative
the motivational messages are annoying you can only track up to 5 habits in the free version but it is totally not worth paying for more good riddance i suppo this kind of app is just not for me,negative
oh sorry to hear about this too sad,negative
kbal24 i am sorry that you are feeling that way,negative
i ve missed one this year it s the forbidden fruit of all the trees in the garden i munch in disappointment on that one,negative
at the beginning was good but i wait two months later and the app keep putting back as not done reminders that i mark as done already and the other task that have date and mark as priority don t even showed me if you can fix that ill stay with the app otherwise i will keep looking sadly the only remid app that work good was the apple one but i don t have iphone anymore so came on please make this one work,negative
nooooooooooooooo well the 4g will prob be out in june but that doesn t help u now,negative
well that is just completely lame i m sorry dude,negative
sometimes knowledge is not a good thing,negative
i loved this app when i tried the free version the side tabs and all it felt like a planner then i open it up and it must ve updated because the looks changed no side tabs so i paid for the pro version to get more out of it nothing has changes i go to landscape view and it won t scroll it s glitch to i have paid the 4 99 and it keeps telling me to upgrade i ve already paid i emailed you guys and still haven t heard any support a week later so my advice to you all keep your 5,negative
the program is very good on my old phone galaxy note 4 but notifications don t work on the new one redmi note 8 pro i hope you will fix them thanks,negative
_crisis deathmatch i don t have that game plus i m not really good at any games lol,negative
i can t upload a picture everything s too big,negative
great concept but executed poorly i added 2 events between 6 30am and 9 30 but when i tried adding one for 10 30am it would let me saying it overlapped with another event which it did not i even checked my calendar and nothing was there for that time it s now 11 42am i tried adding an event for 3 30pm and it said its saved but hasn t showed on the clock or anything so it s pretty useless at this point,negative
it keeps bugging out whenever i try to do anything it wont stop doing ghe tutorial and wont ket me delete tast and stuff,negative
i don t feel so good after eating all that food ugh,negative
this porridge tastes i cba with today man,negative
annoying new trend on the internets people picking apart michael lewis and malcolm gladwell nobody wants to read that,negative
sorry that was a bit negative,negative
dear developers thank you for deleting all my reminders after updating the app it was not pleasant at all believe me,negative
using google pixel 2 and paid for full version sometimes the day on the calendar doesn t update i dont want to have to restart my phone everday a workaround would be to press the refresh button on the calendar but i dont like having to do that every day,negative
i need to do some more post but i don t have time on this tour apologies to all my supporters,negative
best among productivity i am going to buy full version soon but it worked for 2 days and then it crashes on opening sent two mail to your team regarding this but haven t received any update i have tried everything whether on internet or on your twitter response i am planning to purchase this app but it s not doing well i reinstalled almost 3 times but same worked for 1 day and again same problem model no cph1859 phone oppo realme 1,negative
sorry to hear that if i didn t already so much planned this weekend i d have considered going too,negative
gettin some fuel too bad no one is reading this,negative
i m so unhappy being here i hate it it s affecting everything my relationships with people my personality my attitude,negative
paid premium it doesn t sync at all costumer service unresponsive for a long time don t spend money on premium this app is dead the last update was in 2018,negative
the only part of this app that doesn t impress me is the widgets everything else is beautiful good visual layouts simple quick tracking but enough features to be flexible for different needs update 12 30 2019 the app no longer syncs and does not import data i ve got a handy cvs export with 3 000 lines of habit data thank goodness but can no longer reccomend the app if it requires manual input to restore data,negative
oh dear that s just disturbing the coffee connoisseur in me just died a little,negative
used the free version for years no issues didn t need the pro features then they started putting in ads not the kind that pop up along the bottom but ones that completely hijack the screen while you re trying to work worst bait and switch i ve ever seen,negative
that preview of a trailer for new moon was a joke 14 seconds still watched it tho twice lol figured i missed something still sick,negative
my dad is trying to force me to learn to drive i don t like doing things i m not good at in public,negative
wtf at facebook spam saying that my dad is my secret admirer,negative
think of the prize at the end so sorry to hear that though,negative
cant put in anything in app,negative
omgeee that hurt like helll finally got it back in can t close it put the ball back in,negative
completed subtasks are now forced below uncompleted ones and hidden by default i thought that was a bug regression but apparently it s by design subscription cancelled for now,negative
no kidding there ugh one thing i know for sure it won t be me showing the property this weekend,negative
dates and times no such thing here sure you can colorcode and organize and sort your tasks to death but strangely enough there s no changing when a reminder will go off no setting when a task is due perhaps if you used this for work or a meeting or not even the ability to set a due date for a task it can be put in the details but when time is of the essence you re better off using a better task app,negative
the link provided is the same robot answer i received by email i still cannot download the the pro version i bought as it was removed from the market if you remove it from the market then obvisouly no one can download it and if it is not removed provide the download link else do not tell your customers that it is a perpetual license did you ever hear about short links,negative
this app is really very good but notifications aren t working i tried everything it told me to do but it s still not working,negative
cant even get past the first screen i get a notice that my phone is blocking the app but there are no instructions in the troubleshooting for my pixel i ve looked all over my settings there s nothing i can find to change to allow this app to do something frankly i m dubious that this app somehow needs some extreme level of permissions that no other ever has especially as it hasnt told me why,negative
aaaaw no are the windows open and that,negative
wearing a pair of trousers that were loose last year tight this year,negative
and other girls come over and my boyfriend forgets that i m here,negative
em app ra bai ardham ai sasthaledhu,negative
frustrated that all the useful features are only for premium not complaining that they are set up that way but that they dont let you know until you are set up also its calendar wont work unless you import an external calendar defeats the purpose of having a separate calendar without premium its identical to a hundred other free apps,negative
so no yarn arriving until monday and i don t even know what s in this shipment i have nothing to dye now what,negative
got so totally lost that i had to pay for a taxi to get me back to where i was supposed to be yeah something like that lol,negative
sorry to hear that is is a 365,negative
is feeling her eyes burned fried after 10 hours attached to the screen uploading new summer clothing for my store,negative
the english used is very poor thus if the developed cannot master simple rules of grammar why should i trust them with such sensitive subject matter uninstalled,negative
drat all my land boots died at once i think of boots like parsley one going to seed the other first season what to do now,negative
i think i m running a fever and not feeling so well,negative
typical of microsoft they bought a really great app wunderlist killed it and replaced it with an app that is nowhere near as easy to use,negative
great app alas i m constantly reminded that hey btw there s a paid version which has the functionality you re looking for this is tiresome and the subscription based model just doesn t make any sense plus hey its expensive,negative
app was good in past but not anymore it has stopped sync and many bugs creeped in due to no maintenance and update since as per details in app page last update was on 28th jun 2018 but still it is the first thing that comes in results when i search for habit i guess google should stop advertising an app that is not managed since years,negative
great idea in principle but it s so hard to work out what s going on that that so far it s useless,negative
this app keeps on signing me out and asking for my password and then when i put it in it says it s wrong wunderlist was so much better,negative
i liked the app and i purchased it but i can t sync any data from old phone and when logged out of the app there is no way to login again except reinstall the app so if anyone is fine with restart all the progress everytime you change phone this app is for you but since i like to keep my progress to the new phone i am stop using this app and find another one,negative
lately the ads have doubled in frequency have become full screen noisy and more difficult to close while the overall usability have decreased quite shame and before telling the it s free slogan think that annoyed people will delete not buy,negative
i can t find hope he didn t get eaten by anything last night he jumped off the deck he just wont stay in safe sigh,negative
wasn t sure to begin with as it s not all that user friendly but how frustrating to take a chance anyway pay for premium only to have it not sync with my calendars wasn t really any other reason to pay for premium except that what a small waste of money it s of no use to me now,negative
stupid popup reminding me to add reminders or do something covers my keypad and stays for a long time with no way to close it i can t keep checked off items it reminds me multiple times every couple of seconds to clear off the checked items again blocking me i can t move items between lists and if there is a way it isn t easy enough for me to figure out cumbersome,negative
ohh sorry thats someone else s pic my bad,negative
wow had a 30 second ad that gave me the uninstall this app command i used to like the 1st but eventually moved to the 2nd but after that atrocious ad i uninstalled and used google calendar which the widget is not as nice but works great,negative
i hate exam time i want my life back also i want the ability to revise back if i ever had that ability that is,negative
alright sorry but i think you should go anyways,negative
i can t believe you tweeted that it was our special moment,negative
watching jeremy assemble jr s new radio flyer bike jr is sick with 100 degree fever taking a nap this will cheer him up though,negative
why yes jeeves bring me that noose there too many assignments,negative
everytime i snooze an event it disappears this calendar is useless maybe i did not explain properly it does not dissapear as in not in my calendar as an event when i have set a reminder alarm at i get a notification pop up i snooze it for 30min i do not get another reminder in 30 min,negative
thanks to the forever 21 curse that makes you spend 3 hours there everytime you go in i couldnt go tanning today,negative
when you try to write a task and you want to set the reminder at the same time you have to make a reminder for each one and its wasting my time if i could i would rate this app 0 stars,negative
do not install this app i used to love it but in the most recent update the advertisements have made it absolutely unusable i am switching to google calendar and never looking back,negative
this darn cold just keeps getting worse i bought some hayfever pills just to try out maybe i ve had that all along,negative
sh t i m getting even more sad i m currently at the library and j think it ll be the last one tooooo,negative
oh i m so sorry i feel your pain i can t kill them either and i m always the one that finds them why is that,negative
finds the hardest thing about being a christian is to put god as first in his life i need help,negative
ahhhh cant find anything because i have way too much open,negative
im back to this z index problem again,negative
this app doesnt open at all,negative
nick s voice still makes me wanna kill things,negative
nursing my scratches and bumps from festivus mud wrestling i swear there s still dirt in my hair but a good time was had by all,negative
i am not receiving my notifications on any of my tasks projects i have scheduled so i end up missing out on things i want to take care of i have it turned on in settings why is that i utilize the smart schedule tool but still no notification pls help or fix,negative
my phone is dead this sucks,negative
yip that would be a sign that you ve been on the dodgy sites jo eish boet it ain t cool,negative
will not open disappointed as i was looking forward to using this service,negative
i did the free trial and canceled this service they charged me anyway not giving me any way to contact the company or get my money back these people are rip offs i didn t even use their crappy app,negative
now that hugh laurie has mentioned he follows on twitter thousands of idiots think this is him idiots,negative
oh my gosh my hair is so short i miss my long hair,negative
thanks for the follow my new twitpeeps,negative
so sorry to hear that i lost two hard drives this year i know the feeling,negative
bgt that poor kid,negative
oh you poor thing so sorry babe,negative
that s the worst dream ever weird to think all of those thoughts are in your subconscious,negative
i don t think i am my sisters refusn to get me a ticket now what you doing next week,negative
loved this app until ads started covering the entire screen uninstalled immediately,negative
i m so bored i can barely even tweet i have nothing to talk about boredboots,negative
dislike the latest widget downgrade the loss of the ability to select multiple tasks is frustrating not sure how long i will stick with this app now as the widget is far less user friendly than previous version,negative
i m not impressed that it almost always rains on bank holidays stil it s a free day no college,negative
this heartburn may be the death of me,negative
i wanted a to do list this is not such continually asking to name things unnecessarily complicated kiss,negative
why the can t i be over this i feel like crying bit i realy don t want to why is this bothering me sooooooo much,negative
just finished watching the series return of the chasers war on everything really quite compared to how it used to be,negative
requires account to use i was just giving a simple reason why i didn t like it but since your response indicates i don t have 10 seconds then i ll waist 5 minutes to make you understand the point is that it requires an account i don t need another stinking account to keep track of a task list if i wanted to share on multiple devices i would just use any number of desktop applications that i already own i don t need another stinking program tracking my business in the sake of backing up my data or make it available everywhere i have that covered already just wanted a simple task list for a small price to use on my phone but without that choice no thanks to act as though 10 seconds to give up my privacy is no big deal well my information and data is not your business or any one else unless i decide i want to do that that is what you need to understand some customers like to have options to do something and not have something stuffed down their throat downloaded tasks todo list and been happy with it donated 1 99 to developer for making app for me and not their self,negative
very bad app i organised all of my activities took me 1 hour to complete my planner then realised that the app automatically sets the time at am so all my afternoon activities where at the morning for example if i had to eat at 1pm it said that i had to eat at 1am so i changed them to pm and suddenly the app errased my whole schedule wasting 1 hour,negative
so you are like the rest of us on this miserable bank holiday then lol,negative
this is a great planner but i m really annoyed that having previously paid for the pro version i am now expected to pay an annual fee,negative
i m alright thanks pal just bored witless bored to hell really wanna go out somewhere,negative
sorting out twitter issues very frustrated that you can t talk to someone and they respond slowly to issues capacity the challenges,negative
i just bought premium and realized i made a mistake right away it told me to register to sync my data and i did sync option wouldn t do anything i wasn t able to set a username because of some unknown error all the time then half the screen was empty and i decided it was a glitch and reinstalled it and now all my data is gone so stupid i just paid 10 bucks to be able to create more than 5 habits and i lost everything don t recommend this app so disappointed,negative
i am horrible at appraising peer work what are these americans thinking when they compose poems or maybe i am the one with the problem,negative
wunderlist was better please change the ui back to wlist style which makes it easier to read for example don t have completed and non completed tasks right next to each other in a list also comments needs to be separated automatically with a date specified that states which date that comment was added and by who,negative
wants 2 99 per month to do things i can do for free with google,negative
it wasn t that good tonight i know dcd though i won t say what happened,negative
this app is closing down everytime i try to do anything but daily tasks rather frustrating,negative
very good app but in widget there is a no option in list wise select today tomorrow or all please update for this option then it will be far better please update example if there s a call list in widget it shows in call widget list all call today tomorrow other all day but it should option to select today tomorrow etc,negative
just starting and learning how to use unable to set correct due date on tasks when i select that task has a due date todays date appears when i click that date the calendar displays allgood so far but when i select a date on the calendar and close it the due date is still today,negative
_xd si pero parece que las personas de facebook no estan de acuerdo that was probably all wrong but i tried,negative
this traffic is ridiculous im may not make it,negative
i used to love this but now i need to pay an insane amount or have both the pro and free versions both on my phone if you already have purchased the old business calendar pro you just have to keep it installed on your device to activate all the pro features of business calendar 2 unfortunately we have no possibility to automatically check if you are a pro user of bc 1 we can only check if the old bc pro app currently is installed on your device,negative
viral marketing fail this acia pills brand oughta get shut down for hacking into people s messenger s i get 5 6 msgs in a day arrrgh,negative
seems like a good tool but almost nothing that i actually need to do with it is possible without a subscription i d happily puchase the app or do a free trial period but honestly it annoys me when companies offer a free download only to put everything useful behind a paywall especially when they try to give a discount for a year s sub before you even really get to try the features nope,negative
it was way worse than that and where were you why didnt you say hello,negative
_watson i can t this weekend sorry and steph is working,negative
couldn t figure out how to set reminder times won t do anything other then am,negative
most of the things are paid,negative
another build failed something is not right in the big scheme of things,negative
feeling so low and depressed that i m not on holiday,negative
just woke up and my tummy hurts there s always something wrong with me s,negative
update dropped 5 star rating to 1star app will not sync i have it on android and ipad and neither one of them will sync to the server app store shows 8 months since any updates would not have paid for premium if i knew it wasn t going to be maintained original review i wanted to make something like this myself but they ve already done a great job i feel more obligated to the daily habits i m trying to build and it s great that it tracks my completion streaks,negative
poor replacement for wunderlist so many features missing my day isn t something everyone wants but can t turn off can t reorder my lists manually will use different app when microsoft kill wunderlist,negative
it was good until the recent updates i installed this app because of its widget however the recent update destroyed everything that i have customised there are a lot of setting to make the widget looks good but the update limited the setttings i event went all out in purchasing the app thinking it could be like it used to be maybe i can change it back with unlimited setting but it s not as good as before im disappointed,negative
it shocked d i too puts things in a whole new empowering light now doesn,negative
must register with email google or fb displaying your email address just to get onto app smack dab near beginning of setup process full page per each setting a full page ad to buy premium version appears getting into app stayed just a min with the boxed staring at the boxed text notification that we have seven 7 days to try app for free already concerned about not liking having to register online to use stopped setup process at that page uninstalling right now,negative
had been using this app without glitches for quite a while now but the last update prevents me from opening it anymore,negative
add a feature that let s me tick tasks off from the widget either than that i love the app,negative
couldn t find google assistant integration anywhere even though it s been advertised everywhere when searching the web for the app edit it s even in the description of the app here that s false advertising i will edit my review when it s out of beta and working in the final version,negative
wish it didn t force me to use google calendar i wanted to start a new calender off of this app,negative
been using this app for years this app called itself business calendar but now includes popups which blasts the speaker at full volume how am i supposed to use this app during business meetings like the others who gave their feedbacks guess it s time we move on to another calendar app like onecalendar which dosent have ads,negative
am i really hyperventilating over my hair yes i most certainly am,negative
are you giving up on me oh well it s not the counting it s the math and the weighting or lack of that doesn t make sense,negative
this has helped me so much bohot pasand i love the app but i swear my coins disappear anyone else having this issue,negative
i am sad that my kids were ungrateful today,negative
i m tired i think i m becoming too old to go out,negative
you may have to email the tech support ppl that s odd,negative
don t think i can take a needle watched a horribly gory short film on drugs a few months ago i m scarred for life,negative
laughed so much today over that picture of lauren that my chest hurts,negative
great app for your phone but if you need smartwatch functionality look to any do rather than this app in dialogues with the devs theyve stated they have no intentions of integrating even simple wearos apps like add task from watch uninstalled,negative
unfortunately noy my life suck this year,negative
tried to swat a fly with my buddhist magazine bad karma,negative
i found it odd that the app didn t have preset hourly reminders most people have habits that require them to do them on specific hours for example gyming twice or thrice a day the app should have a feature on where you can input the exact times in the day when it should remind you another example of this would be reminder on every thursdays at 7am and 8pm i should be reminded of insert habit instead it s jungle of toggles that seem to not make sense,negative
no notification or stick to notification n alert n all features not working after a day in my previous review you replied to try that feature i already did that my android version is 9 asus zenfone max pro m1 plz fix this error,negative
u should work on the phones like oppo and others so that customer don t find problem,negative
spent the night finally relaxing with nogard on wow after finishing some work needed to take a small break from art i really missed this,negative
another loser i have lost the game more times today than any other day in history lost,negative
a female robin just flew into my window and i watched her die in my bushes i think i am going to cry now,negative
you really chose the wrong time of year to do this didnt you,negative
cars cars cars i need one ha ha the one i found last night that i wanted so bad is now sold and not to me,negative
i love this app but recently the app keeps crashing everytime i enter plus the calendar is completely wrong,negative
this picture made me cry lol,negative
auto fail only works if you go to each task that s not auto fail makes no sense might as well go back to life rpg that feature was the only reason i even tried this subscription model ridiculous why would i pay a monthly fee for some icons they are helpful icons necessary mostly but that s just ridiculously expensive for some icons a one time fee is reasonable even if it was like 5 i wanted to like this app but this got in the way,negative
anyway can t take this no longer or my mind will blow off,negative
this is getting on my nerves i cant change my pic,negative
i want to buy this great album but unfortunately i dont hav enuff funds its long time noisy,negative
